Flag,Description,Type,Part,Quantity,UOM,IsVariableQuantity,MinQuantity,MaxQuantity,OptionGroup,OptionGroupPrompt,IsGroupDefault,PriceAdjustment,IsOneTimeItem,IsStage,StageBOMNumber,ConfigurationSortOrder
BOM,NANO-1000S,"NANO-1000S single wheel, 8 and 10-inch diameter wheel polishing machine (part no. NANO-1000S)  (polishing wheels sold separately)",TRUE,1,,Never,None,Imported from QuickBooks,,,,,,,,
Item,Create NANO-1000S,Finished Good,NANO-1000S,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,90
Item,Add NANO-1000S Casting-Components,Raw Good,NANO1000S Casting-Components,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,1
,,,,,,,,,,,,,,,,
Item,Add NANO-1000S_2000S Plastic-Components,Raw Good,NANO-1000S_2000S Plastic-Components,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,1
Item,Add NANO-1000S Plastic-Components,Raw Good,NANO-1000S Plastic-Components,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,1
,,,,,,,,,,,,,,,,
Item,Add NANO-S Sheet-Metal-Components,Raw Good,NANO-S Sheet-Metal-Components,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,1
Item,Add NANO-1000S Sheet-Metal-Components,Raw Good,NANO-1000S Sheet-Metal-Components,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,1
,,,,,,,,,,,,,,,,
Item,Add NANO-S Machined-Components,Raw Good,NANO-S Machined-Components,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,1
Item,Add NANO-1000S_2000S Machined-Components,Raw Good,NANO-1000S_2000S Machined-Components,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,1
Item,Add NANO-1000S Machined-Components,Raw Good,NANO-1000S Machined-Components,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,1
,,,,,,,,,,,,,,,,
Item,Add NANO-S Electrical-Components,Raw Good,NANO-S Electrical-Components,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,4
Item,Add NANO-1000S_2000S Electrical-Components,Raw Good,NANO-1000S_2000S Electrical-Components,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,1
Item,Add NANO-1000S Electrical-Components,Raw Good,NANO-1000S Electrical-Components,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,1
,,,,,,,,,,,,,,,,
Item,Add NANO-S Standard-Components,Raw Good,NANO-S Standard-Components,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,5
